ID,CCAvg,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
64,0,0,0,0,0,1,0
129,0,0,0,1,0,1,0
211,0,NA,0,0,0,?,0
254,0,0,0,0,0,0,0
261,0,0,0,0,0,0,1
297,0,0,0,0,0,1,0
445,0,0,0,0,0,1,1
935,0,0,0,0,0,1,0
993,0,0,0,0,0,1,0
1006,0,0,0,?,0,1,0
1074,0,0,0,0,0,1,1
1086,0,0,0,1,0,0,0
1099,0,0,0,0,0,1,1
1249,0,0,0,0,0,1,0
1321,0,0,1,0,?,1,0
1387,0,0,0,0,0,1,0
1477,0,0,0,0,0,0,1
1493,0,0,0,0,0,1,0
1495,0,0,0,0,0,1,1
1507,0,0,0,0,0,1,1
1563,0,0,0,0,0,1,0
1568,0,0,0,0,0,1,0
1581,0,0,0,0,0,0,0
1634,0,0,0,0,0,0,0
1639,0,0,0,0,0,1,1
1640,0,0,0,1,0,1,0
1644,0,0,0,0,0,1,0
1757,0,0,0,0,0,0,0
1761,0,0,0,0,0,1,0
1792,0,0,0,0,1,1,1
1824,0,0,0,0,0,1,1
1905,0,0,0,0,0,1,0
1961,0,0,0,0,0,1,0
2012,0,0,0,0,0,1,0
2029,0,0,0,0,0,0,0
2072,0,0,0,0,0,1,0
2128,0,0,0,0,0,0,0
2199,0,0,0,0,0,1,0
2238,0,0,0,0,0,1,1
2275,0,0,0,0,0,1,0
2358,0,0,0,0,0,0,0
2547,0,0,0,1,0,0,0
2621,0,0,0,0,0,0,0
2643,0,0,0,0,0,1,0
2668,0,0,0,0,0,1,0
2840,0,0,0,0,0,1,0
2864,0,0,0,0,0,1,1
2865,0,0,0,0,0,1,1
2945,0,0,0,0,0,0,0
3165,0,0,0,0,0,1,1
3253,0,0,0,0,0,1,0
3261,0,0,0,0,0,0,0
3397,0,0,0,0,0,1,1
3403,0,0,0,0,0,1,1
3425,0,0,0,0,0,1,1
3533,0,0,0,0,0,1,1
3544,0,0,0,0,0,0,0
3583,0,0,0,0,0,1,0
3589,0,0,0,0,0,1,0
3630,0,0,0,0,0,1,1
3838,0,0,0,0,0,1,0
3879,0,0,0,0,0,1,1
3904,0,0,0,0,0,0,0
3939,0,0,0,0,0,1,0
4054,0,0,0,0,0,0,0
4085,0,0,0,1,0,0,0
4099,0,0,0,0,0,0,0
4291,0,0,0,0,0,1,0
4337,0,0,0,0,0,0,0
4404,0,0,0,0,0,0,0
4439,0,0,0,0,0,0,0
4491,0,0,0,1,0,1,0
4503,0,0,0,0,0,0,0
4682,0,0,0,0,0,0,1
4761,0,0,0,0,0,0,1
4838,0,0,0,0,0,0,0
4911,0,0,0,0,0,1,0
1482,0,76,0,1,0,1,0
1974,0,78,0,0,0,0,0
2458,0,85,0,0,0,1,1
199,0,90,0,1,0,1,0
3607,0,96,0,0,0,1,1
2566,0,102,0,0,0,1,0
1683,0,103,0,0,0,1,0
1806,0,114,0,0,0,1,0
4802,0,121,0,0,0,1,0
3935,0,126,0,0,0,0,1
3523,0,134,0,0,0,0,0
963,0,135,0,0,0,0,0
595,0,144,0,0,0,0,0
2768,0,144,0,0,0,1,0
4296,0,146,0,0,0,0,0
4065,0,166,0,0,0,0,0
1464,0,174,0,0,0,1,0
4038,0,178,0,0,0,0,0
3875,0,184,0,0,0,0,0
2209,0,185,0,1,0,1,0
4827,0,225,0,0,0,0,0
1004,0,229,0,0,0,1,0
3417,0,244,0,0,0,1,0
216,0,249,0,0,0,1,1
4950,0,249,0,0,0,0,1
3980,0,258,0,1,1,1,1
3234,0,329,0,0,0,0,0
2028,0,380,0,0,0,0,0
3663,0,500,0,0,0,0,0
12,0.1,0,0,0,0,1,0
57,0.1,0,0,1,1,1,0
100,0.1,0,0,0,0,1,0
106,0.1,0,0,1,0,1,0
180,0.1,0,0,0,0,1,0
208,0.1,0,0,0,0,0,0
305,0.1,0,0,0,0,0,0
397,0.1,0,0,0,0,0,0
430,0.1,0,0,0,0,1,0
503,0.1,0,0,0,0,0,0
508,0.1,0,0,0,0,1,0
543,0.1,0,0,0,0,1,0
552,0.1,0,0,0,0,1,1
608,0.1,0,1,0,0,0,0
638,0.1,0,0,0,0,1,0
683,0.1,0,0,0,0,0,1
748,0.1,0,0,1,1,1,0
810,0.1,0,0,0,0,0,1
815,0.1,0,0,0,0,0,1
850,0.1,0,0,1,1,1,1
865,0.1,0,0,0,0,1,0
878,0.1,0,0,0,0,0,0
925,0.1,0,0,1,0,0,0
931,0.1,0,0,0,0,1,0
980,0.1,0,0,0,0,0,1
1027,0.1,0,0,0,0,1,0
1060,0.1,0,0,0,0,1,1
1061,0.1,0,0,0,0,0,1
1082,0.1,0,0,0,0,0,0
1152,0.1,0,0,1,1,1,0
1181,0.1,0,0,0,0,0,1
1332,0.1,0,0,0,0,1,0
1339,0.1,0,0,0,0,0,0
1364,0.1,0,0,0,0,0,0
1379,0.1,0,0,0,0,1,0
1398,0.1,0,0,0,0,1,0
